file,name,wins,losses,games,win_rate,terminal,colors,total_cards,draft_id,build_index
3wins_6games_3losses_wr50_id110464.dck,3wins_6games_3losses_wr50_id110464,3,3,6,50.00,eliminated,WR,40,02fb4e5ce7ab4aa69e3b280a1ae6ac56,1
7wins_8games_1losses_wr88_id106801.dck,7wins_8games_1losses_wr88_id106801,7,1,8,87.50,trophy,URG,40,1cd83cd01f1b47949c4d298118548ea4,0
4wins_7games_3losses_wr57_id101473.dck,4wins_7games_3losses_wr57_id101473,4,3,7,57.14,eliminated,UR,40,88e83c4c16b94323ab1d5a018ba43da7,0
3wins_6games_3losses_wr50_id029727.dck,3wins_6games_3losses_wr50_id029727,3,3,6,50.00,eliminated,WUG,40,3a542299c6074b878fa4f044e3dafd67,0
2wins_5games_3losses_wr40_id009202.dck,2wins_5games_3losses_wr40_id009202,2,3,5,40.00,eliminated,URG,43,006d3383c93e4495b8052a706e8ec7c6,0
3wins_6games_3losses_wr50_id108031.dck,3wins_6games_3losses_wr50_id108031,3,3,6,50.00,eliminated,UR,40,5f6ad720e95049afa19ca01e312a1365,0
5wins_8games_3losses_wr62_id098136.dck,5wins_8games_3losses_wr62_id098136,5,3,8,62.50,eliminated,WUR,40,2bbe3d41207e47eb97f74edde2478fbd,1
0wins_3games_3losses_wr0_id009701.dck,0wins_3games_3losses_wr0_id009701,0,3,3,0.00,eliminated,UR,41,d83fe96b482b47e68200d2aee599824d,0
2wins_5games_3losses_wr40_id125039.dck,2wins_5games_3losses_wr40_id125039,2,3,5,40.00,eliminated,WB,40,a09f25dd45ef43109963eca7ba06aff4,0
5wins_8games_3losses_wr62_id111746.dck,5wins_8games_3losses_wr62_id111746,5,3,8,62.50,eliminated,WR,41,4cfc386881754adfb8513785ac535084,0
0wins_3games_3losses_wr0_id012269.dck,0wins_3games_3losses_wr0_id012269,0,3,3,0.00,eliminated,BG,40,88ce06ab52504b5b827b02397c860c79,0
2wins_5games_3losses_wr40_id067130.dck,2wins_5games_3losses_wr40_id067130,2,3,5,40.00,eliminated,WR,40,ad82ea9b347b4caba88ae8ef548719bb,0
4wins_7games_3losses_wr57_id113192.dck,4wins_7games_3losses_wr57_id113192,4,3,7,57.14,eliminated,WB,40,5e9dd2ad7f104b9ea41edac80218e889,0
